comuna,desc_comuna,presupuesto,anio
1,COMUNA 1,34149507184.0,2013
2,COMUNA 2,2794259360.0,2013
3,COMUNA 3,5588101144.0,2013
4,COMUNA 4,20577540984.0,2013
5,COMUNA 5,3904952976.0,2013
6,COMUNA 6,3959264672.0,2013
7,COMUNA 7,5508337864.0,2013
8,COMUNA 8,4004081564.0,2013
9,COMUNA 9,4979276292.0,2013
10,COMUNA 10,2717457856.0,2013
11,COMUNA 11,3070006564.0,2013
12,COMUNA 12,3561738504.0,2013
13,COMUNA 13,3004448812.0,2013
14,COMUNA 14,6568174096.0,2013
15,COMUNA 15,3596119292.0,2013
1,COMUNA 1,58542385224.0,2014
2,COMUNA 2,4550368756.0,2014
3,COMUNA 3,7912589524.0,2014
4,COMUNA 4,27470916500.0,2014
5,COMUNA 5,4658478020.0,2014
6,COMUNA 6,4902102768.0,2014
7,COMUNA 7,7282639532.0,2014
8,COMUNA 8,5738476428.0,2014
9,COMUNA 9,5598239460.0,2014
10,COMUNA 10,3743464708.0,2014
11,COMUNA 11,4124678812.0,2014
12,COMUNA 12,4897165872.0,2014
13,COMUNA 13,4257153280.0,2014
14,COMUNA 14,7499207692.0,2014
15,COMUNA 15,4718860456.0,2014
1,COMUNA 1,77077995060.0,2015
2,COMUNA 2,7967680484.0,2015
3,COMUNA 3,9483166156.0,2015
4,COMUNA 4,41972598720.0,2015
5,COMUNA 5,4617475204.0,2015
6,COMUNA 6,7475834664.0,2015
7,COMUNA 7,9954905676.0,2015
8,COMUNA 8,9385521656.0,2015
9,COMUNA 9,9113491032.0,2015
10,COMUNA 10,6250876556.0,2015
11,COMUNA 11,4840338036.0,2015
12,COMUNA 12,5558836864.0,2015
13,COMUNA 13,4807567568.0,2015
14,COMUNA 14,8212106012.0,2015
15,COMUNA 15,6817097556.0,2015
1,COMUNA 1,184640105044.0,2016
2,COMUNA 2,12509495192.0,2016
3,COMUNA 3,20735691868.0,2016
4,COMUNA 4,87689956228.0,2016
5,COMUNA 5,9232469384.0,2016
6,COMUNA 6,14673509812.0,2016
7,COMUNA 7,18682202864.0,2016
8,COMUNA 8,24768214668.0,2016
9,COMUNA 9,17433461260.0,2016
10,COMUNA 10,9529645100.0,2016
11,COMUNA 11,10500332392.0,2016
12,COMUNA 12,13980645680.0,2016
13,COMUNA 13,12521814016.0,2016
14,COMUNA 14,18777135104.0,2016
15,COMUNA 15,13641482468.0,2016
1,COMUNA 1,244186511776.0,2017
2,COMUNA 2,19678935092.0,2017
3,COMUNA 3,50836852000.0,2017
4,COMUNA 4,144961862920.0,2017
5,COMUNA 5,15427877136.0,2017
6,COMUNA 6,22086111792.0,2017
7,COMUNA 7,28446144536.0,2017
8,COMUNA 8,54399418920.0,2017
9,COMUNA 9,27656775884.0,2017
10,COMUNA 10,16961378440.0,2017
11,COMUNA 11,18440738080.0,2017
12,COMUNA 12,22857575428.0,2017
13,COMUNA 13,19568722780.0,2017
14,COMUNA 14,28937111760.0,2017
15,COMUNA 15,26849115508.0,2017
1,COMUNA 1,305734606128.0,2018
2,COMUNA 2,23222299300.0,2018
3,COMUNA 3,59102199844.0,2018
4,COMUNA 4,181220650024.0,2018
5,COMUNA 5,20721787576.0,2018
6,COMUNA 6,28010252484.0,2018
7,COMUNA 7,33452123980.0,2018
8,COMUNA 8,51030835696.0,2018
9,COMUNA 9,32680259608.0,2018
10,COMUNA 10,21022292720.0,2018
11,COMUNA 11,21689489800.0,2018
12,COMUNA 12,25586868552.0,2018
13,COMUNA 13,26282003564.0,2018
14,COMUNA 14,37391725036.0,2018
15,COMUNA 15,31096744116.0,2018
1,COMUNA 1,476756658288.0,2019
2,COMUNA 2,19588792852.0,2019
3,COMUNA 3,72568887712.0,2019
4,COMUNA 4,351231931612.0,2019
5,COMUNA 5,18401999864.0,2019
6,COMUNA 6,31695571332.0,2019
7,COMUNA 7,49539427972.0,2019
8,COMUNA 8,47834945128.0,2019
9,COMUNA 9,43346826016.0,2019
10,COMUNA 10,23398568632.0,2019
11,COMUNA 11,24527196192.0,2019
12,COMUNA 12,31490341708.0,2019
13,COMUNA 13,28877621160.0,2019
14,COMUNA 14,43161463128.0,2019
15,COMUNA 15,31947785704.0,2019
1,COMUNA 1,700326665548.0,2020
2,COMUNA 2,31791019812.0,2020
3,COMUNA 3,112516934104.0,2020
4,COMUNA 4,508555326044.0,2020
5,COMUNA 5,31330383508.0,2020
6,COMUNA 6,46944873544.0,2020
7,COMUNA 7,61663073520.0,2020
8,COMUNA 8,79185042288.0,2020
9,COMUNA 9,69994003596.0,2020
10,COMUNA 10,30275720584.0,2020
11,COMUNA 11,37607505880.0,2020
12,COMUNA 12,41181411340.0,2020
13,COMUNA 13,40783315784.0,2020
14,COMUNA 14,66071553820.0,2020
15,COMUNA 15,42974865820.0,2020
1,COMUNA 1,1056877410612.0,2021
2,COMUNA 2,43803554348.0,2021
3,COMUNA 3,158900392028.0,2021
4,COMUNA 4,642164043576.0,2021
5,COMUNA 5,39416201668.0,2021
6,COMUNA 6,57523639808.0,2021
7,COMUNA 7,76681571040.0,2021
8,COMUNA 8,135813382128.0,2021
9,COMUNA 9,80767838280.0,2021
10,COMUNA 10,47678553564.0,2021
11,COMUNA 11,46792276116.0,2021
12,COMUNA 12,57015535520.0,2021
13,COMUNA 13,54385749476.0,2021
14,COMUNA 14,93023476140.0,2021
15,COMUNA 15,51876903972.0,2021
